Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted?,Average,Year 1,Year 2,Year 3,Total Yards from Scrimmage
76,195,4.46,32,8,115,7.19,4.35,0,0.00,0,0,0,0
67,195,4.46,35.5,23,124,7.08,4.3,0,0.00,0,0,0,0
72,229,4.58,33,18,118,6.88,4.22,1,164.00,406,76,10,492
74,196,4.52,39.5,11,135,7.19,4.26,1,0.00,0,0,0,0
71,224,4.62,34.5,19,117,6.86,4.15,0,133.00,15,85,299,1768
72,198,4.45,36,15,129,6.94,4.34,1,133.67,401,0,0,401
76,216,4.62,34,13,121,7.07,4.25,1,90.00,154,116,0,270
76,218,4.6,36,20,124,7.07,4.25,0,0.00,0,0,0,0
68,180,4.43,34,13,121,6.64,4.07,1,5.00,15,0,0,15
74,223,4.48,35,17,123,6.9,4.13,0,0.00,0,0,0,0
68,207,4.47,34,17,112,7.26,4.58,0,0.00,0,0,0,0
76,211,4.42,39,16,124,7.18,4.15,1,454.33,561,802,0,2277
73,198,4.5,36.5,15,118,7.08,4.2,1,0.00,0,0,0,1
76,207,4.55,35,12,123,7.08,4.63,0,0.00,0,0,0,0
73,215,4.52,35,19,126,7.04,4.07,1,1276.67,833,1416,1581,9056
69,192,4.46,39,20,122,6.77,4.01,1,75.33,102,52,72,441
73,205,4.51,36,10,122,6.95,4.37,1,819.00,507,1107,843,3744
75,212,4.57,35,18,126,6.8,4.13,1,1262.33,1137,1245,1405,6561
69,217,4.61,34,17,116,7,4.18,1,180.67,96,75,371,3118
73,206,4.69,35,12,114,7.09,4.2,0,0.00,0,0,0,0
71,227,4.52,38.5,29,128,7.09,4.25,1,1378.00,1145,1772,1217,7522
71,198,4.38,38.5,7,122,6.69,3.94,1,1389.67,1340,1453,1376,8102
70,228,4.64,32.5,20,111,7,4.21,0,583.67,251,537,963,2885
70,185,4.33,37,13,122,6.7,4.11,1,327.00,242,538,201,2085
68,192,4.5,32.5,12,120,6.89,4.28,0,0.00,0,0,0,0
75,197,4.42,34.5,8,123,6.73,4.14,0,0.00,0,0,0,0
72,198,4.6,41,16,132,6.86,4.15,0,0.00,0,0,0,0
70,183,4.48,35.5,6,122,6.87,4.16,1,229.33,130,164,394,1377
77,243,4.69,28,17,121,7.46,4.33,0,257.67,201,343,229,1044
75,219,4.44,41,19,136,6.82,4.28,1,5.67,0,0,17,17
69,193,4.48,35.5,18,125,6.84,4.27,1,19.33,58,0,0,58
73,189,4.44,29.5,8,125,6.98,4.28,1,0.00,0,0,0,0
72,204,4.62,33,15,121,7.08,4.11,0,0.00,0,0,0,0
71,229,4.54,34,17,118,6.9,4.16,1,532.00,593,752,251,2324
72,199,4.64,35.5,8,119,6.68,4.11,1,137.33,68,268,76,1333
74,232,4.58,33,15,122,6.95,4.16,0,25.00,0,8,67,83
68,181,4.51,32,11,116,6.77,4,1,115.67,46,274,27,347
71,233,4.65,33,30,116,7.26,4.37,1,279.33,785,37,16,3021
73,212,4.43,41,23,131,6.98,4.06,1,176.67,11,449,70,542
73,211,4.43,34,16,126,6.95,4.34,1,822.67,990,1048,430,5460
72,217,4.75,31,12,116,6.85,4.21,0,0.00,0,0,0,0
73,213,4.51,34.5,13,122,7.07,4.21,1,0.00,0,0,0,0
71,191,4.5,32,8,118,6.83,4.2,1,19.67,11,48,0,59
75,220,4.64,30,11,113,6.7,4.32,0,0.00,0,0,0,0
67,190,4.51,36,18,121,6.86,4.18,0,0.00,0,0,0,
70,194,4.48,41,20,123,7,4.35,1,784.67,714,735,905,4281
70,189,4.56,32.5,13,121,6.75,4.4,0,32.33,0,37,60,97
73,226,4.61,36,22,117,7.19,4.22,1,757.67,1019,777,477,3453
71,203,4.5,33.5,13,132,6.57,4.21,1,246.67,274,466,0,740
68,213,4.62,37,22,115,7.52,4.37,0,6.33,7,12,0,19
72,189,4.65,31.5,12,114,6.93,4.46,0,33.67,101,0,0,101
72,210,4.41,38,16,122,6.96,4.08,1,53.33,16,0,144,160
68,181,4.63,33,13,117,6.74,4.01,1,215.00,430,215,0,847
74,203,4.49,37.5,12,130,6.97,4.5,1,370.67,427,234,451,1767
73,188,4.42,38.5,11,124,6.6,4.22,1,35.67,24,83,0,291
71,203,4.55,33.5,17,116,6.91,4.19,1,91.00,75,198,0,273
67,195,4.49,33.5,18,119,6.84,4.12,0,4.00,12,0,0,0
73,197,4.58,34,11,119,6.9,4.35,1,639.00,661,225,1031,6166
68,178,4.54,32,9,117,6.83,4.22,0,3.33,0,10,0,10
72,215,4.6,29.5,21,120,7.17,4.28,1,382.00,669,265,212,2067
70,208,4.47,33.5,14,120,6.83,4.28,1,412.67,367,277,594,1430
72,186,4.32,33.5,10,126,6.93,4.27,1,522.33,632,432,503,3142
71,195,4.62,33.5,11,113,7.19,4.39,0,626.33,0,984,895,3460
74,219,4.55,36,14,126,7.11,4.29,0,300.33,0,278,623,2104
74,201,4.45,36.5,15,133,6.79,4.01,1,395.67,316,652,219,3052
